E_eV,T_from_T22,T_from_S21
1.950487621905476433e-03,9.563718228587289158e-09,9.563718228587292466e-09
2.000500125031258025e-03,9.852866869800470832e-09,9.852866869800472486e-09
2.050512628157039399e-03,1.014442577886161099e-08,1.014442577886161265e-08
2.100525131282820774e-03,1.043841172210221413e-08,1.043841172210221578e-08
2.150537634408602149e-03,1.073484157734683569e-08,1.073484157734683734e-08
2.200550137534383957e-03,1.103373233465529633e-08,1.103373233465529633e-08
2.250562640660165332e-03,1.133510109707019018e-08,1.133510109707018853e-08
2.300575143785946707e-03,1.163896508136922378e-08,1.163896508136922543e-08
2.350587646911728081e-03,1.194534161882320634e-08,1.194534161882320634e-08
2.400600150037509456e-03,1.225424815595854816e-08,1.225424815595854651e-08
2.450612653163290831e-03,1.256570225532529783e-08,1.256570225532529949e-08
2.500625156289072639e-03,1.287972159627058420e-08,1.287972159627058254e-08
2.550637659414854014e-03,1.319632397571683452e-08,1.319632397571683287e-08
2.600650162540635389e-03,1.351552730894586064e-08,1.351552730894586395e-08
2.650662665666416763e-03,1.383734963038794295e-08,1.383734963038794460e-08
2.700675168792198138e-03,1.416180909441646309e-08,1.416180909441645481e-08
2.750687671917979513e-03,1.448892397614769829e-08,1.448892397614769829e-08
2.800700175043761321e-03,1.481871267224646053e-08,1.481871267224646053e-08
2.850712678169542696e-03,1.515119370173698170e-08,1.515119370173697508e-08
2.900725181295324070e-03,1.548638570681965684e-08,1.548638570681965353e-08
2.950737684421105445e-03,1.582430745369253047e-08,1.582430745369253378e-08
3.000750187546886820e-03,1.616497783337956240e-08,1.616497783337955909e-08
3.050762690672668195e-03,1.650841586256374427e-08,1.650841586256374427e-08
3.100775193798450003e-03,1.685464068442618819e-08,1.685464068442618819e-08
3.150787696924231378e-03,1.720367156949097928e-08,1.720367156949097597e-08
3.200800200050012752e-03,1.755552791647565628e-08,1.755552791647565297e-08
3.250812703175794127e-03,1.791022925314765453e-08,1.791022925314765122e-08
3.300825206301575502e-03,1.826779523718672112e-08,1.826779523718671781e-08
3.350837709427357310e-03,1.862824565705262743e-08,1.862824565705263074e-08
3.400850212553138685e-03,1.899160043285986954e-08,1.899160043285986293e-08
3.450862715678920060e-03,1.935787961725719618e-08,1.935787961725719949e-08
3.500875218804701434e-03,1.972710339631450184e-08,1.972710339631450184e-08
3.550887721930482809e-03,2.009929209041404110e-08,2.009929209041404441e-08
3.600900225056264184e-03,2.047446615514984196e-08,2.047446615514984196e-08
3.650912728182045992e-03,2.085264618223096391e-08,2.085264618223097052e-08
3.700925231307827367e-03,2.123385290039343474e-08,2.123385290039343474e-08
3.750937734433608742e-03,2.161810717631626712e-08,2.161810717631627043e-08
3.800950237559390116e-03,2.200543001554515456e-08,2.200543001554516118e-08
3.850962740685171491e-03,2.239584256342198757e-08,2.239584256342198095e-08
3.900975243810952866e-03,2.278936610602070260e-08,2.278936610602070260e-08
3.950987746936734241e-03,2.318602207108943745e-08,2.318602207108944076e-08
4.001000250062516049e-03,2.358583202899987656e-08,2.358583202899986995e-08
4.051012753188296990e-03,2.398881769370235344e-08,2.398881769370235013e-08
4.101025256314078798e-03,2.439500092368809663e-08,2.439500092368808670e-08
4.151037759439860607e-03,2.480440372295696814e-08,2.480440372295696483e-08
4.201050262565641548e-03,2.521704824199370206e-08,2.521704824199369875e-08
4.251062765691423356e-03,2.563295677874889769e-08,2.563295677874890430e-08
4.301075268817204297e-03,2.605215177962863861e-08,2.605215177962864854e-08
4.351087771942986106e-03,2.647465584048944539e-08,2.647465584048944208e-08
4.401100275068767914e-03,2.690049170764027249e-08,2.690049170764026919e-08
4.451112778194548855e-03,2.732968227885251240e-08,2.732968227885251240e-08
4.501125281320330664e-03,2.776225060437542928e-08,2.776225060437542597e-08
4.551137784446111605e-03,2.819821988796039055e-08,2.819821988796039386e-08
4.601150287571893413e-03,2.863761348788987297e-08,2.863761348788986635e-08
4.651162790697674354e-03,2.908045491801528973e-08,2.908045491801529304e-08
4.701175293823456162e-03,2.952676784880216629e-08,2.952676784880216298e-08
4.751187796949237971e-03,2.997657610838078541e-08,2.997657610838077218e-08
4.801200300075018912e-03,3.042990368360590156e-08,3.042990368360591479e-08
4.851212803200800720e-03,3.088677472112247703e-08,3.088677472112247041e-08
4.901225306326581661e-03,3.134721352843966353e-08,3.134721352843967014e-08
4.951237809452363470e-03,3.181124457501151690e-08,3.181124457501151690e-08
5.001250312578145278e-03,3.227889249332611611e-08,3.227889249332612934e-08
5.051262815703926219e-03,3.275018208000040623e-08,3.275018208000041946e-08
5.101275318829708028e-03,3.322513829688531838e-08,3.322513829688531176e-08
5.151287821955488969e-03,3.370378627217573360e-08,3.370378627217573360e-08
5.201300325081270777e-03,3.418615130152988985e-08,3.418615130152988323e-08
5.251312828207052585e-03,3.467225884919580343e-08,3.467225884919581005e-08
5.301325331332833526e-03,3.516213454914635938e-08,3.516213454914635938e-08
5.351337834458615335e-03,3.565580420622033757e-08,3.565580420622033757e-08
5.401350337584396276e-03,3.615329379727401361e-08,3.615329379727401361e-08
5.451362840710178084e-03,3.665462947233836466e-08,3.665462947233837127e-08
5.501375343835959025e-03,3.715983755578475879e-08,3.715983755578475879e-08
5.551387846961740834e-03,3.766894454750099410e-08,3.766894454750098087e-08
5.601400350087522642e-03,3.818197712407189056e-08,3.818197712407188394e-08
5.651412853213303583e-03,3.869896213997076758e-08,3.869896213997077420e-08
5.701425356339085392e-03,3.921992662875785008e-08,3.921992662875785670e-08
5.751437859464866333e-03,3.974489780428763451e-08,3.974489780428762128e-08
5.801450362590648141e-03,4.027390306192413631e-08,4.027390306192413631e-08
5.851462865716429949e-03,4.080696997976511718e-08,4.080696997976511718e-08
5.901475368842210890e-03,4.134412631987438574e-08,4.134412631987440559e-08
5.951487871967992699e-03,4.188540002952244926e-08,4.188540002952244926e-08
6.001500375093773640e-03,4.243081924243707842e-08,4.243081924243707842e-08
6.051512878219555448e-03,4.298041228005997337e-08,4.298041228005997337e-08
