E_eV,T_from_T22,T_from_S21
0.000000000000000000e+00,4.167275260205809183e-125,4.167275260205808134e-125
5.001250312578144926e-05,4.374772639601266327e-11,4.374772639601267620e-11
1.000250062515628985e-04,8.833513865739128408e-11,8.833513865739128408e-11
1.500375093773443410e-04,1.337755908066058417e-10,1.337755908066058417e-10
2.000500125031257970e-04,1.800826462915939121e-10,1.800826462915939379e-10
2.500625156289072531e-04,2.272700814096023868e-10,2.272700814096023610e-10
3.000750187546886820e-04,2.753518887907979930e-10,2.753518887907980447e-10
3.500875218804701651e-04,3.243422809427736869e-10,3.243422809427735835e-10
4.001000250062515941e-04,3.742556938570971217e-10,3.742556938570972250e-10
4.501125281320330230e-04,4.251067906790853117e-10,4.251067906790854668e-10
5.001250312578145061e-04,4.769104654419754883e-10,4.769104654419754883e-10
5.501375343835959893e-04,5.296818468667640670e-10,5.296818468667641704e-10
6.001500375093773640e-04,5.834363022288904412e-10,5.834363022288904412e-10
6.501625406351588471e-04,6.381894412931043955e-10,6.381894412931043955e-10
7.001750437609403303e-04,6.939571203177736771e-10,6.939571203177737805e-10
7.501875468867217050e-04,7.507554461299742906e-10,7.507554461299741872e-10
8.002000500125031881e-04,8.086007802727009131e-10,8.086007802727006029e-10
8.502125531382846713e-04,8.675097432256232816e-10,8.675097432256235918e-10
9.002250562640660460e-04,9.274992187007147299e-10,9.274992187007145231e-10
9.502375593898475291e-04,9.885863580142831598e-10,9.885863580142833666e-10
1.000250062515629012e-03,1.050788584536803105e-09,1.050788584536803312e-09
1.050262565641410387e-03,1.114123598222106986e-09,1.114123598222106779e-09
1.100275068767191979e-03,1.178609380217398632e-09,1.178609380217398839e-09
1.150287571892973353e-03,1.244264197555731021e-09,1.244264197555731228e-09
1.200300075018754728e-03,1.311106607932441203e-09,1.311106607932441616e-09
1.250312578144536320e-03,1.379155464567332824e-09,1.379155464567332824e-09
1.300325081270317694e-03,1.448429921154049703e-09,1.448429921154049497e-09
1.350337584396099069e-03,1.518949436898560325e-09,1.518949436898560325e-09
1.400350087521880661e-03,1.590733781648338763e-09,1.590733781648339176e-09
1.450362590647662035e-03,1.663803041114060994e-09,1.663803041114060374e-09
1.500375093773443410e-03,1.738177622185633726e-09,1.738177622185633726e-09
1.550387596899225002e-03,1.813878258344424525e-09,1.813878258344424732e-09
1.600400100025006376e-03,1.890926015173493208e-09,1.890926015173493208e-09
1.650412603150787751e-03,1.969342295967903197e-09,1.969342295967903610e-09
1.700425106276569343e-03,2.049148847446851356e-09,2.049148847446851356e-09
1.750437609402350717e-03,2.130367765569891694e-09,2.130367765569891694e-09
1.800450112528132092e-03,2.213021501459128338e-09,2.213021501459129165e-09
1.850462615653913684e-03,2.297132867429525568e-09,2.297132867429526395e-09
