E_eV,T_from_T22,T_from_S21
0.000000000000000000e+00,4.167275260205809183e-125,4.167275260205808134e-125
5.001250312578144926e-05,9.961099994044913629e-11,9.961099994044913629e-11
1.000250062515628985e-04,2.004040131184395302e-10,2.004040131184395044e-10
1.500375093773443410e-04,3.023903291339045192e-10,3.023903291339044675e-10
2.000500125031257970e-04,4.055813406667789517e-10,4.055813406667790034e-10
2.500625156289072531e-04,5.099885444275868235e-10,5.099885444275869269e-10
3.000750187546886820e-04,6.156235421171011986e-10,6.156235421171009918e-10
3.500875218804701651e-04,7.224980413951806129e-10,7.224980413951806129e-10
4.001000250062515941e-04,8.306238568588491445e-10,8.306238568588490411e-10
4.501125281320330230e-04,9.400129110297611571e-10,9.400129110297609504e-10
5.001250312578145061e-04,1.050677235351058887e-09,1.050677235351058681e-09
5.501375343835959893e-04,1.162628971193854381e-09,1.162628971193853967e-09
6.001500375093773640e-04,1.275880370873256782e-09,1.275880370873256162e-09
6.501625406351588471e-04,1.390443798674209989e-09,1.390443798674210403e-09
7.001750437609403303e-04,1.506331731887117402e-09,1.506331731887117609e-09
7.501875468867217050e-04,1.623556761853422412e-09,1.623556761853422412e-09
8.002000500125031881e-04,1.742131595021191574e-09,1.742131595021191367e-09
8.502125531382846713e-04,1.862069054010902289e-09,1.862069054010902082e-09
9.002250562640660460e-04,1.983382078691350631e-09,1.983382078691351045e-09
9.502375593898475291e-04,2.106083727266020527e-09,2.106083727266020527e-09
1.000250062515629012e-03,2.230187177369783179e-09,2.230187177369783179e-09
1.050262565641410387e-03,2.355705727176257812e-09,2.355705727176257812e-09
1.100275068767191979e-03,2.482652796515715048e-09,2.482652796515715461e-09
1.150287571892973353e-03,2.611041928003856252e-09,2.611041928003856252e-09
1.200300075018754728e-03,2.740886788181313973e-09,2.740886788181313973e-09
1.250312578144536320e-03,2.872201168664346614e-09,2.872201168664347441e-09
1.300325081270317694e-03,3.004998987306400189e-09,3.004998987306400603e-09
1.350337584396099069e-03,3.139294289371032650e-09,3.139294289371033891e-09
1.400350087521880661e-03,3.275101248716120540e-09,3.275101248716120540e-09
1.450362590647662035e-03,3.412434168989436483e-09,3.412434168989436483e-09
1.500375093773443410e-03,3.551307484835839056e-09,3.551307484835839470e-09
1.550387596899225002e-03,3.691735763116160641e-09,3.691735763116161054e-09
1.600400100025006376e-03,3.833733704137759355e-09,3.833733704137758528e-09
1.650412603150787751e-03,3.977316142897180908e-09,3.977316142897180908e-09
1.700425106276569343e-03,4.122498050334574272e-09,4.122498050334575099e-09
1.750437609402350717e-03,4.269294534600465857e-09,4.269294534600466684e-09
1.800450112528132092e-03,4.417720842334811516e-09,4.417720842334810689e-09
1.850462615653913684e-03,4.567792359958294142e-09,4.567792359958294142e-09
1.900475118779695058e-03,4.719524614976260575e-09,4.719524614976261402e-09
1.950487621905476433e-03,4.872933277295303626e-09,4.872933277295306108e-09
2.000500125031258025e-03,5.028034160552598400e-09,5.028034160552597573e-09
2.050512628157039399e-03,5.184843223458187296e-09,5.184843223458187296e-09
2.100525131282820774e-03,5.343376571150215353e-09,5.343376571150216180e-09
2.150537634408602149e-03,5.503650456563524566e-09,5.503650456563522912e-09
2.200550137534383957e-03,5.665681281811351561e-09,5.665681281811352388e-09
2.250562640660165332e-03,5.829485599580652249e-09,5.829485599580651422e-09
2.300575143785946707e-03,5.995080114540828462e-09,5.995080114540830116e-09
2.350587646911728081e-03,6.162481684766491010e-09,6.162481684766489356e-09
2.400600150037509456e-03,6.331707323173723162e-09,6.331707323173723990e-09
2.450612653163290831e-03,6.502774198970531095e-09,6.502774198970529441e-09
2.500625156289072639e-03,6.675699639121578096e-09,6.675699639121578923e-09
2.550637659414854014e-03,6.850501129826929558e-09,6.850501129826928731e-09
